Image_Path,Height,Width,Channels,Class
data/vehicles/5337.png,64,64,3,1
data/vehicles/2458.png,64,64,3,1
data/vehicles/5860.png,64,64,3,1
data/vehicles/right (255).png,64,64,3,1
data/vehicles/far (826).png,64,64,3,1
data/vehicles/2869.png,64,64,3,1
data/vehicles/right (605).png,64,64,3,1
data/vehicles/left (337).png,64,64,3,1
data/vehicles/far (575).png,64,64,3,1
data/vehicles/638.png,64,64,3,1
data/vehicles/middle (116).png,64,64,3,1
data/vehicles/far (49).png,64,64,3,1
data/vehicles/left (767).png,64,64,3,1
data/vehicles/far (125).png,64,64,3,1
data/vehicles/5874.png,64,64,3,1
data/vehicles/176.png,64,64,3,1
data/vehicles/left (788).png,64,64,3,1
data/vehicles/5684.png,64,64,3,1
data/vehicles/left (272).png,64,64,3,1
data/vehicles/far (430).png,64,64,3,1
data/vehicles/2855.png,64,64,3,1
data/vehicles/3593.png,64,64,3,1
data/vehicles/middle (403).png,64,64,3,1
data/vehicles/88.png,64,64,3,1
data/vehicles/610.png,64,64,3,1
data/vehicles/left (622).png,64,64,3,1
data/vehicles/1384.png,64,64,3,1
data/vehicles/1390.png,64,64,3,1
data/vehicles/604.png,64,64,3,1
data/vehicles/middle (28).png,64,64,3,1
data/vehicles/right (310).png,64,64,3,1
data/vehicles/2841.png,64,64,3,1
data/vehicles/3587.png,64,64,3,1
data/vehicles/2699.png,64,64,3,1
data/vehicles/5690.png,64,64,3,1
data/vehicles/5848.png,64,64,3,1
data/vehicles/162.png,64,64,3,1
data/vehicles/189.png,64,64,3,1
data/vehicles/far (349).png,64,64,3,1
data/vehicles/4565.png,64,64,3,1
data/vehicles/2114.png,64,64,3,1
data/vehicles/2672.png,64,64,3,1
data/vehicles/4203.png,64,64,3,1
data/vehicles/837.png,64,64,3,1
data/vehicles/far (719).png,64,64,3,1
data/vehicles/77.png,64,64,3,1
data/vehicles/right (4).png,64,64,3,1
data/vehicles/right (469).png,64,64,3,1
data/vehicles/823.png,64,64,3,1
data/vehicles/63.png,64,64,3,1
data/vehicles/far (3).png,64,64,3,1
data/vehicles/2666.png,64,64,3,1
data/vehicles/5109.png,64,64,3,1
data/vehicles/4217.png,64,64,3,1
data/vehicles/right (193).png,64,64,3,1
data/vehicles/3578.png,64,64,3,1
data/vehicles/4571.png,64,64,3,1
data/vehicles/2100.png,64,64,3,1
data/vehicles/1409.png,64,64,3,1
data/vehicles/left (858).png,64,64,3,1
data/vehicles/3236.png,64,64,3,1
data/vehicles/4559.png,64,64,3,1
data/vehicles/5647.png,64,64,3,1
data/vehicles/2128.png,64,64,3,1
data/vehicles/1421.png,64,64,3,1
data/vehicles/right (486).png,64,64,3,1
data/vehicles/1347.png,64,64,3,1
data/vehicles/5121.png,64,64,3,1
data/vehicles/2896.png,64,64,3,1
data/vehicles/3550.png,64,64,3,1
data/vehicles/right (91).png,64,64,3,1
data/vehicles/5135.png,64,64,3,1
data/vehicles/2882.png,64,64,3,1
data/vehicles/middle (395).png,64,64,3,1
data/vehicles/3544.png,64,64,3,1
data/vehicles/left (48).png,64,64,3,1
data/vehicles/1353.png,64,64,3,1
data/vehicles/1435.png,64,64,3,1
data/vehicles/3222.png,64,64,3,1
data/vehicles/5653.png,64,64,3,1
data/vehicles/5914.png,64,64,3,1
data/vehicles/far (133).png,64,64,3,1
data/vehicles/left (771).png,64,64,3,1
data/vehicles/980.png,64,64,3,1
data/vehicles/middle (100).png,64,64,3,1
data/vehicles/758.png,64,64,3,1
data/vehicles/far (563).png,64,64,3,1
data/vehicles/left (321).png,64,64,3,1
data/vehicles/right (613).png,64,64,3,1
data/vehicles/2909.png,64,64,3,1
data/vehicles/994.png,64,64,3,1
data/vehicles/far (830).png,64,64,3,1
data/vehicles/right (243).png,64,64,3,1
data/vehicles/5900.png,64,64,3,1
data/vehicles/1596.png,64,64,3,1
data/vehicles/3381.png,64,64,3,1
data/vehicles/5928.png,64,64,3,1
data/vehicles/5096.png,64,64,3,1
data/vehicles/2921.png,64,64,3,1
data/vehicles/4388.png,64,64,3,1
data/vehicles/right (306).png,64,64,3,1
data/vehicles/764.png,64,64,3,1
data/vehicles/770.png,64,64,3,1
data/vehicles/left (634).png,64,64,3,1
data/vehicles/5082.png,64,64,3,1
data/vehicles/middle (415).png,64,64,3,1
data/vehicles/2935.png,64,64,3,1
data/vehicles/far (426).png,64,64,3,1
data/vehicles/3395.png,64,64,3,1
data/vehicles/left (264).png,64,64,3,1
data/vehicles/1582.png,64,64,3,1
data/vehicles/1569.png,64,64,3,1
data/vehicles/2060.png,64,64,3,1
data/vehicles/4411.png,64,64,3,1
data/vehicles/right (185).png,64,64,3,1
data/vehicles/3418.png,64,64,3,1
data/vehicles/4377.png,64,64,3,1
data/vehicles/5069.png,64,64,3,1
data/vehicles/right (68).png,64,64,3,1
data/vehicles/2706.png,64,64,3,1
data/vehicles/943.png,64,64,3,1
data/vehicles/957.png,64,64,3,1
data/vehicles/4363.png,64,64,3,1
data/vehicles/2712.png,64,64,3,1
data/vehicles/2074.png,64,64,3,1
data/vehicles/4405.png,64,64,3,1
data/vehicles/5733.png,64,64,3,1
data/vehicles/middle (229).png,64,64,3,1
data/vehicles/3342.png,64,64,3,1
data/vehicles/1555.png,64,64,3,1
data/vehicles/1233.png,64,64,3,1
data/vehicles/middle (383).png,64,64,3,1
data/vehicles/3424.png,64,64,3,1
data/vehicles/left (458).png,64,64,3,1
data/vehicles/5055.png,64,64,3,1
data/vehicles/3430.png,64,64,3,1
data/vehicles/right (87).png,64,64,3,1
data/vehicles/5041.png,64,64,3,1
data/vehicles/1227.png,64,64,3,1
data/vehicles/right (490).png,64,64,3,1
data/vehicles/1541.png,64,64,3,1
data/vehicles/2048.png,64,64,3,1
data/vehicles/5727.png,64,64,3,1
data/vehicles/4439.png,64,64,3,1
data/vehicles/3356.png,64,64,3,1
data/vehicles/3801.png,64,64,3,1
data/vehicles/right (214).png,64,64,3,1
data/vehicles/left (8).png,64,64,3,1
data/vehicles/1970.png,64,64,3,1
data/vehicles/middle (86).png,64,64,3,1
data/vehicles/4808.png,64,64,3,1
data/vehicles/right (644).png,64,64,3,1
data/vehicles/far (534).png,64,64,3,1
data/vehicles/left (376).png,64,64,3,1
data/vehicles/1964.png,64,64,3,1
data/vehicles/middle (157).png,64,64,3,1
data/vehicles/228.png,64,64,3,1
data/vehicles/far (164).png,64,64,3,1
data/vehicles/left (726).png,64,64,3,1
data/vehicles/3815.png,64,64,3,1
data/vehicles/566.png,64,64,3,1
data/vehicles/far (471).png,64,64,3,1
data/vehicles/left (233).png,64,64,3,1
data/vehicles/5294.png,64,64,3,1
data/vehicles/4834.png,64,64,3,1
data/vehicles/left (399).png,64,64,3,1
data/vehicles/3183.png,64,64,3,1
data/vehicles/1794.png,64,64,3,1
data/vehicles/left (663).png,64,64,3,1
data/vehicles/200.png,64,64,3,1
data/vehicles/1958.png,64,64,3,1
data/vehicles/right (351).png,64,64,3,1
data/vehicles/middle (69).png,64,64,3,1
data/vehicles/214.png,64,64,3,1
data/vehicles/1780.png,64,64,3,1
data/vehicles/4820.png,64,64,3,1
data/vehicles/2289.png,64,64,3,1
data/vehicles/3197.png,64,64,3,1
data/vehicles/5280.png,64,64,3,1
data/vehicles/3829.png,64,64,3,1
data/vehicles/572.png,64,64,3,1
data/vehicles/599.png,64,64,3,1
data/vehicles/middle (291).png,64,64,3,1
data/vehicles/2504.png,64,64,3,1
data/vehicles/4175.png,64,64,3,1
data/vehicles/far (308).png,64,64,3,1
data/vehicles/4613.png,64,64,3,1
data/vehicles/2262.png,64,64,3,1
data/vehicles/far (758).png,64,64,3,1
data/vehicles/right (428).png,64,64,3,1
data/vehicles/3168.png,64,64,3,1
data/vehicles/4607.png,64,64,3,1
data/vehicles/5519.png,64,64,3,1
data/vehicles/2276.png,64,64,3,1
data/vehicles/2510.png,64,64,3,1
data/vehicles/4161.png,64,64,3,1
data/vehicles/left (819).png,64,64,3,1
data/vehicles/right (582).png,64,64,3,1
data/vehicles/1019.png,64,64,3,1
data/vehicles/2538.png,64,64,3,1
data/vehicles/5257.png,64,64,3,1
data/vehicles/4149.png,64,64,3,1
data/vehicles/3626.png,64,64,3,1
data/vehicles/1031.png,64,64,3,1
data/vehicles/1757.png,64,64,3,1
data/vehicles/3140.png,64,64,3,1
data/vehicles/5531.png,64,64,3,1
data/vehicles/3154.png,64,64,3,1
data/vehicles/5525.png,64,64,3,1
data/vehicles/1743.png,64,64,3,1
data/vehicles/1025.png,64,64,3,1
data/vehicles/5243.png,64,64,3,1
data/vehicles/3632.png,64,64,3,1
data/vehicles/1742.png,64,64,3,1
data/vehicles/5524.png,64,64,3,1
data/vehicles/left (248).png,64,64,3,1
data/vehicles/3155.png,64,64,3,1
data/vehicles/3633.png,64,64,3,1
data/vehicles/5242.png,64,64,3,1
data/vehicles/left (618).png,64,64,3,1
data/vehicles/1024.png,64,64,3,1
data/vehicles/1030.png,64,64,3,1
data/vehicles/middle (12).png,64,64,3,1
data/vehicles/3627.png,64,64,3,1
data/vehicles/4148.png,64,64,3,1
data/vehicles/5256.png,64,64,3,1
data/vehicles/2539.png,64,64,3,1
data/vehicles/5530.png,64,64,3,1
data/vehicles/3141.png,64,64,3,1
data/vehicles/right (280).png,64,64,3,1
data/vehicles/1756.png,64,64,3,1
data/vehicles/2277.png,64,64,3,1
data/vehicles/5518.png,64,64,3,1
data/vehicles/4606.png,64,64,3,1
data/vehicles/3169.png,64,64,3,1
data/vehicles/1018.png,64,64,3,1
data/vehicles/4160.png,64,64,3,1
data/vehicles/2511.png,64,64,3,1
data/vehicles/4174.png,64,64,3,1
data/vehicles/2505.png,64,64,3,1
data/vehicles/598.png,64,64,3,1
data/vehicles/far (73).png,64,64,3,1
data/vehicles/2263.png,64,64,3,1
data/vehicles/4612.png,64,64,3,1
data/vehicles/3196.png,64,64,3,1
data/vehicles/2288.png,64,64,3,1
data/vehicles/4821.png,64,64,3,1
data/vehicles/right (516).png,64,64,3,1
data/vehicles/1781.png,64,64,3,1
data/vehicles/215.png,64,64,3,1
data/vehicles/1959.png,64,64,3,1
data/vehicles/573.png,64,64,3,1
data/vehicles/3828.png,64,64,3,1
data/vehicles/right (146).png,64,64,3,1
data/vehicles/5281.png,64,64,3,1
data/vehicles/5295.png,64,64,3,1
data/vehicles/far (236).png,64,64,3,1
data/vehicles/left (474).png,64,64,3,1
data/vehicles/left (72).png,64,64,3,1
data/vehicles/567.png,64,64,3,1
data/vehicles/far (666).png,64,64,3,1
data/vehicles/201.png,64,64,3,1
data/vehicles/1795.png,64,64,3,1
data/vehicles/middle (205).png,64,64,3,1
data/vehicles/3182.png,64,64,3,1
data/vehicles/4835.png,64,64,3,1
data/vehicles/229.png,64,64,3,1
data/vehicles/far (689).png,64,64,3,1
data/vehicles/1965.png,64,64,3,1
data/vehicles/far (373).png,64,64,3,1
data/vehicles/left (531).png,64,64,3,1
data/vehicles/3814.png,64,64,3,1
data/vehicles/middle (340).png,64,64,3,1
data/vehicles/far (723).png,64,64,3,1
data/vehicles/left (161).png,64,64,3,1
data/vehicles/right (453).png,64,64,3,1
data/vehicles/right (44).png,64,64,3,1
data/vehicles/3800.png,64,64,3,1
data/vehicles/4809.png,64,64,3,1
data/vehicles/left (862).png,64,64,3,1
data/vehicles/1971.png,64,64,3,1
data/vehicles/1226.png,64,64,3,1
data/vehicles/5040.png,64,64,3,1
data/vehicles/3431.png,64,64,3,1
data/vehicles/3357.png,64,64,3,1
data/vehicles/4438.png,64,64,3,1
data/vehicles/5726.png,64,64,3,1
data/vehicles/2049.png,64,64,3,1
data/vehicles/1540.png,64,64,3,1
data/vehicles/middle (45).png,64,64,3,1
data/vehicles/middle (194).png,64,64,3,1
data/vehicles/1554.png,64,64,3,1
data/vehicles/3343.png,64,64,3,1
data/vehicles/5732.png,64,64,3,1
data/vehicles/5054.png,64,64,3,1
data/vehicles/3425.png,64,64,3,1
data/vehicles/1232.png,64,64,3,1
data/vehicles/2713.png,64,64,3,1
data/vehicles/4362.png,64,64,3,1
data/vehicles/far (24).png,64,64,3,1
data/vehicles/956.png,64,64,3,1
data/vehicles/far (148).png,64,64,3,1
data/vehicles/4404.png,64,64,3,1
data/vehicles/far (518).png,64,64,3,1
data/vehicles/2075.png,64,64,3,1
data/vehicles/4410.png,64,64,3,1
data/vehicles/2061.png,64,64,3,1
data/vehicles/right (392).png,64,64,3,1
data/vehicles/1568.png,64,64,3,1
data/vehicles/942.png,64,64,3,1
data/vehicles/right (238).png,64,64,3,1
data/vehicles/2707.png,64,64,3,1
data/vehicles/5068.png,64,64,3,1
data/vehicles/4376.png,64,64,3,1
data/vehicles/3419.png,64,64,3,1
data/vehicles/2934.png,64,64,3,1
data/vehicles/left (589).png,64,64,3,1
data/vehicles/middle (252).png,64,64,3,1
data/vehicles/5083.png,64,64,3,1
data/vehicles/far (631).png,64,64,3,1
data/vehicles/771.png,64,64,3,1
data/vehicles/1583.png,64,64,3,1
data/vehicles/left (25).png,64,64,3,1
data/vehicles/far (261).png,64,64,3,1
data/vehicles/left (423).png,64,64,3,1
data/vehicles/3394.png,64,64,3,1
data/vehicles/right (111).png,64,64,3,1
data/vehicles/5929.png,64,64,3,1
data/vehicles/3380.png,64,64,3,1
data/vehicles/1597.png,64,64,3,1
data/vehicles/765.png,64,64,3,1
data/vehicles/right (541).png,64,64,3,1
data/vehicles/4389.png,64,64,3,1
data/vehicles/2920.png,64,64,3,1
data/vehicles/5097.png,64,64,3,1
data/vehicles/left (835).png,64,64,3,1
data/vehicles/995.png,64,64,3,1
data/vehicles/2908.png,64,64,3,1
data/vehicles/right (13).png,64,64,3,1
data/vehicles/5901.png,64,64,3,1
data/vehicles/right (404).png,64,64,3,1
data/vehicles/far (774).png,64,64,3,1
data/vehicles/left (136).png,64,64,3,1
data/vehicles/middle (317).png,64,64,3,1
data/vehicles/5915.png,64,64,3,1
data/vehicles/far (324).png,64,64,3,1
data/vehicles/left (566).png,64,64,3,1
data/vehicles/759.png,64,64,3,1
data/vehicles/981.png,64,64,3,1
data/vehicles/1352.png,64,64,3,1
data/vehicles/3545.png,64,64,3,1
data/vehicles/2883.png,64,64,3,1
data/vehicles/left (209).png,64,64,3,1
data/vehicles/5134.png,64,64,3,1
data/vehicles/5652.png,64,64,3,1
data/vehicles/3223.png,64,64,3,1
data/vehicles/middle (182).png,64,64,3,1
data/vehicles/1434.png,64,64,3,1
data/vehicles/left (659).png,64,64,3,1
data/vehicles/middle (53).png,64,64,3,1
data/vehicles/1420.png,64,64,3,1
data/vehicles/2129.png,64,64,3,1
data/vehicles/5646.png,64,64,3,1
data/vehicles/4558.png,64,64,3,1
data/vehicles/3237.png,64,64,3,1
data/vehicles/3551.png,64,64,3,1
data/vehicles/2897.png,64,64,3,1
data/vehicles/5120.png,64,64,3,1
data/vehicles/1346.png,64,64,3,1
data/vehicles/3579.png,64,64,3,1
data/vehicles/4216.png,64,64,3,1
data/vehicles/5108.png,64,64,3,1
data/vehicles/2667.png,64,64,3,1
data/vehicles/62.png,64,64,3,1
data/vehicles/822.png,64,64,3,1
data/vehicles/right (384).png,64,64,3,1
data/vehicles/1408.png,64,64,3,1
data/vehicles/2101.png,64,64,3,1
data/vehicles/4570.png,64,64,3,1
data/vehicles/2115.png,64,64,3,1
data/vehicles/4564.png,64,64,3,1
data/vehicles/188.png,64,64,3,1
data/vehicles/76.png,64,64,3,1
data/vehicles/far (32).png,64,64,3,1
data/vehicles/836.png,64,64,3,1
data/vehicles/4202.png,64,64,3,1
data/vehicles/2673.png,64,64,3,1
data/vehicles/2698.png,64,64,3,1
data/vehicles/3586.png,64,64,3,1
data/vehicles/2840.png,64,64,3,1
data/vehicles/605.png,64,64,3,1
data/vehicles/1391.png,64,64,3,1
data/vehicles/right (557).png,64,64,3,1
data/vehicles/163.png,64,64,3,1
data/vehicles/5849.png,64,64,3,1
data/vehicles/5691.png,64,64,3,1
data/vehicles/right (107).png,64,64,3,1
data/vehicles/left (435).png,64,64,3,1
data/vehicles/far (277).png,64,64,3,1
data/vehicles/5685.png,64,64,3,1
data/vehicles/177.png,64,64,3,1
data/vehicles/left (33).png,64,64,3,1
data/vehicles/1385.png,64,64,3,1
data/vehicles/611.png,64,64,3,1
data/vehicles/far (627).png,64,64,3,1
data/vehicles/89.png,64,64,3,1
data/vehicles/3592.png,64,64,3,1
data/vehicles/2854.png,64,64,3,1
data/vehicles/middle (244).png,64,64,3,1
data/vehicles/639.png,64,64,3,1
data/vehicles/left (570).png,64,64,3,1
data/vehicles/far (332).png,64,64,3,1
data/vehicles/far (298).png,64,64,3,1
data/vehicles/5875.png,64,64,3,1
data/vehicles/middle (301).png,64,64,3,1
data/vehicles/left (120).png,64,64,3,1
data/vehicles/far (762).png,64,64,3,1
data/vehicles/right (412).png,64,64,3,1
data/vehicles/5861.png,64,64,3,1
data/vehicles/2868.png,64,64,3,1
data/vehicles/left (823).png,64,64,3,1
data/vehicles/1636.png,64,64,3,1
data/vehicles/right (296).png,64,64,3,1
data/vehicles/3021.png,64,64,3,1
data/vehicles/5450.png,64,64,3,1
data/vehicles/4996.png,64,64,3,1
data/vehicles/2459.png,64,64,3,1
data/vehicles/5336.png,64,64,3,1
data/vehicles/4028.png,64,64,3,1
data/vehicles/3747.png,64,64,3,1
data/vehicles/1150.png,64,64,3,1
data/vehicles/1144.png,64,64,3,1
data/vehicles/5322.png,64,64,3,1
data/vehicles/3753.png,64,64,3,1
data/vehicles/3035.png,64,64,3,1
data/vehicles/5444.png,64,64,3,1
data/vehicles/4982.png,64,64,3,1
data/vehicles/1622.png,64,64,3,1
data/vehicles/4772.png,64,64,3,1
data/vehicles/2303.png,64,64,3,1
data/vehicles/far (109).png,64,64,3,1
data/vehicles/far (65).png,64,64,3,1
data/vehicles/2465.png,64,64,3,1
data/vehicles/far (559).png,64,64,3,1
data/vehicles/4014.png,64,64,3,1
data/vehicles/right (629).png,64,64,3,1
data/vehicles/2471.png,64,64,3,1
data/vehicles/4000.png,64,64,3,1
data/vehicles/1178.png,64,64,3,1
data/vehicles/right (279).png,64,64,3,1
data/vehicles/3009.png,64,64,3,1
data/vehicles/4766.png,64,64,3,1
data/vehicles/5478.png,64,64,3,1
data/vehicles/2317.png,64,64,3,1
data/vehicles/5493.png,64,64,3,1
data/vehicles/4955.png,64,64,3,1
data/vehicles/middle (213).png,64,64,3,1
data/vehicles/361.png,64,64,3,1
data/vehicles/far (670).png,64,64,3,1
data/vehicles/left (64).png,64,64,3,1
data/vehicles/1193.png,64,64,3,1
data/vehicles/407.png,64,64,3,1
data/vehicles/left (198).png,64,64,3,1
data/vehicles/3784.png,64,64,3,1
data/vehicles/left (462).png,64,64,3,1
data/vehicles/far (220).png,64,64,3,1
data/vehicles/3790.png,64,64,3,1
data/vehicles/3948.png,64,64,3,1
data/vehicles/right (150).png,64,64,3,1
data/vehicles/413.png,64,64,3,1
data/vehicles/1187.png,64,64,3,1
data/vehicles/1839.png,64,64,3,1
data/vehicles/right (500).png,64,64,3,1
data/vehicles/375.png,64,64,3,1
data/vehicles/5487.png,64,64,3,1
data/vehicles/4941.png,64,64,3,1
data/vehicles/4799.png,64,64,3,1
data/vehicles/1811.png,64,64,3,1
data/vehicles/left (874).png,64,64,3,1
data/vehicles/4969.png,64,64,3,1
data/vehicles/right (52).png,64,64,3,1
data/vehicles/3960.png,64,64,3,1
data/vehicles/right (445).png,64,64,3,1
data/vehicles/left (177).png,64,64,3,1
data/vehicles/far (735).png,64,64,3,1
data/vehicles/3974.png,64,64,3,1
data/vehicles/middle (356).png,64,64,3,1
data/vehicles/left (527).png,64,64,3,1
data/vehicles/far (365).png,64,64,3,1
data/vehicles/1805.png,64,64,3,1
data/vehicles/349.png,64,64,3,1
data/vehicles/439.png,64,64,3,1
data/vehicles/3962.png,64,64,3,1
data/vehicles/left (550).png,64,64,3,1
data/vehicles/far (312).png,64,64,3,1
data/vehicles/middle (321).png,64,64,3,1
data/vehicles/left (100).png,64,64,3,1
data/vehicles/1813.png,64,64,3,1
data/vehicles/far (742).png,64,64,3,1
data/vehicles/right (432).png,64,64,3,1
data/vehicles/1807.png,64,64,3,1
data/vehicles/right (25).png,64,64,3,1
data/vehicles/3976.png,64,64,3,1
data/vehicles/right (598).png,64,64,3,1
data/vehicles/left (803).png,64,64,3,1
data/vehicles/2498.png,64,64,3,1
data/vehicles/3786.png,64,64,3,1
data/vehicles/right (577).png,64,64,3,1
data/vehicles/405.png,64,64,3,1
data/vehicles/1191.png,64,64,3,1
data/vehicles/363.png,64,64,3,1
data/vehicles/4957.png,64,64,3,1
data/vehicles/right (127).png,64,64,3,1
data/vehicles/5491.png,64,64,3,1
data/vehicles/left (415).png,64,64,3,1
data/vehicles/4943.png,64,64,3,1
data/vehicles/far (257).png,64,64,3,1
data/vehicles/5485.png,64,64,3,1
data/vehicles/left (13).png,64,64,3,1
data/vehicles/377.png,64,64,3,1
data/vehicles/1185.png,64,64,3,1
data/vehicles/411.png,64,64,3,1
data/vehicles/far (607).png,64,64,3,1
data/vehicles/3792.png,64,64,3,1
data/vehicles/middle (264).png,64,64,3,1
data/vehicles/3779.png,64,64,3,1
data/vehicles/4016.png,64,64,3,1
data/vehicles/5308.png,64,64,3,1
data/vehicles/2467.png,64,64,3,1
data/vehicles/1608.png,64,64,3,1
data/vehicles/2301.png,64,64,3,1
data/vehicles/4770.png,64,64,3,1
data/vehicles/2315.png,64,64,3,1
data/vehicles/4764.png,64,64,3,1
data/vehicles/left (696).png,64,64,3,1
data/vehicles/388.png,64,64,3,1
data/vehicles/far (12).png,64,64,3,1
data/vehicles/4002.png,64,64,3,1
data/vehicles/far (484).png,64,64,3,1
data/vehicles/2473.png,64,64,3,1
data/vehicles/1152.png,64,64,3,1
data/vehicles/far (191).png,64,64,3,1
data/vehicles/3745.png,64,64,3,1
data/vehicles/left (229).png,64,64,3,1
data/vehicles/5334.png,64,64,3,1
data/vehicles/4994.png,64,64,3,1
data/vehicles/left (383).png,64,64,3,1
data/vehicles/5452.png,64,64,3,1
data/vehicles/3023.png,64,64,3,1
data/vehicles/1634.png,64,64,3,1
data/vehicles/left (679).png,64,64,3,1
data/vehicles/middle (73).png,64,64,3,1
data/vehicles/1620.png,64,64,3,1
data/vehicles/2329.png,64,64,3,1
data/vehicles/4980.png,64,64,3,1
data/vehicles/5446.png,64,64,3,1
data/vehicles/4758.png,64,64,3,1
data/vehicles/3037.png,64,64,3,1
data/vehicles/3751.png,64,64,3,1
data/vehicles/3989.png,64,64,3,1
data/vehicles/5320.png,64,64,3,1
data/vehicles/1146.png,64,64,3,1
data/vehicles/left (854).png,64,64,3,1
data/vehicles/5877.png,64,64,3,1
data/vehicles/right (72).png,64,64,3,1
data/vehicles/right (465).png,64,64,3,1
data/vehicles/right (8).png,64,64,3,1
data/vehicles/left (157).png,64,64,3,1
data/vehicles/far (715).png,64,64,3,1
data/vehicles/middle (376).png,64,64,3,1
data/vehicles/left (507).png,64,64,3,1
data/vehicles/5863.png,64,64,3,1
data/vehicles/far (345).png,64,64,3,1
data/vehicles/149.png,64,64,3,1
data/vehicles/5693.png,64,64,3,1
data/vehicles/middle (233).png,64,64,3,1
data/vehicles/161.png,64,64,3,1
data/vehicles/far (650).png,64,64,3,1
data/vehicles/1393.png,64,64,3,1
data/vehicles/607.png,64,64,3,1
data/vehicles/left (44).png,64,64,3,1
data/vehicles/2842.png,64,64,3,1
data/vehicles/middle (399).png,64,64,3,1
data/vehicles/3584.png,64,64,3,1
data/vehicles/left (442).png,64,64,3,1
data/vehicles/far (200).png,64,64,3,1
data/vehicles/2856.png,64,64,3,1
data/vehicles/3590.png,64,64,3,1
data/vehicles/right (170).png,64,64,3,1
data/vehicles/613.png,64,64,3,1
data/vehicles/1387.png,64,64,3,1
data/vehicles/175.png,64,64,3,1
data/vehicles/right (520).png,64,64,3,1
data/vehicles/5687.png,64,64,3,1
data/vehicles/4599.png,64,64,3,1
data/vehicles/left (291).png,64,64,3,1
data/vehicles/4572.png,64,64,3,1
data/vehicles/2103.png,64,64,3,1
data/vehicles/far (129).png,64,64,3,1
data/vehicles/far (45).png,64,64,3,1
data/vehicles/820.png,64,64,3,1
data/vehicles/60.png,64,64,3,1
data/vehicles/2665.png,64,64,3,1
data/vehicles/far (579).png,64,64,3,1
data/vehicles/4214.png,64,64,3,1
data/vehicles/2671.png,64,64,3,1
data/vehicles/right (609).png,64,64,3,1
data/vehicles/4200.png,64,64,3,1
data/vehicles/834.png,64,64,3,1
data/vehicles/74.png,64,64,3,1
data/vehicles/1378.png,64,64,3,1
data/vehicles/right (259).png,64,64,3,1
data/vehicles/3209.png,64,64,3,1
data/vehicles/4566.png,64,64,3,1
data/vehicles/5678.png,64,64,3,1
data/vehicles/2117.png,64,64,3,1
data/vehicles/1436.png,64,64,3,1
data/vehicles/5888.png,64,64,3,1
data/vehicles/3221.png,64,64,3,1
data/vehicles/5650.png,64,64,3,1
data/vehicles/2659.png,64,64,3,1
data/vehicles/5136.png,64,64,3,1
data/vehicles/4228.png,64,64,3,1
data/vehicles/2881.png,64,64,3,1
data/vehicles/3547.png,64,64,3,1
